Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area^2,City,Price(�),Location,Type of Property
A Office Space Is Available For Sale Which Is Located On Uttara Nearby Zam Zam Tower.,,,6,Vacant,2075,Dhaka,"194,094","Sector 13, Uttara",Office Space
Nearly Finished 1380 Sq Ft Flat For Sale In Aftab Nagar,3,3,3,Vacant,1380,Dhaka,"63,473","Block E, Aftab Nagar",Flat
"You Can Buy This Lovely Apartment Of 1350 Sq Ft For Live A Relaxed Life At Banasree, Block C",3,3,8,Vacant,1350,Dhaka,"75,499","Block C, Banasree",Apartment
1470 Sq Ft Flat Is For Sale In Mansurabad Housing Society Nearby Baitur Rahman Jame Mosque,3,3,2,Vacant,1470,Dhaka,"46,770","Mansurabad Housing Society, Adabor",Flat
We are offering you a very spacious 1090 SQ FT flat for Sale in Mirpur near to Holy Crescent School,3,2,1,Vacant,1090,Dhaka,"36,748","West Shewrapara, Mirpur",Flat
"1220 Sq Ft Flat For Sale In Banasree, Block G",3,2,7,Vacant,1220,Dhaka,"53,451","Block G, Banasree",Flat
"Live Permanently In A 1550 Sq Ft Property, Which Is Up For Sale Located At Uttar Badda",3,3,2,Vacant,1550,Dhaka,"96,880","Uttar Badda, Badda",Not Specified
Ideal 8.08 Katha Plot For Sale In Gulshan 1,,,,Vacant,5824,Dhaka,"2,004,410","Gulshan 1, Gulshan",Plot
Reasonable 1654 Sq Ft Apartment For Sale In Uttara 18,3,4,5,Vacant,1654,Dhaka,"83,517","Sector 18, Uttara",Apartment
Flat Is Ready For Sale In East Kazipara Near To Bank Asia Agent Banking,3,2,2,Vacant,975,Dhaka,"26,725","East Kazipara, Mirpur",Flat
740 Square Feet Residential Flat Is Ready To Sale At Middle Pirerbag,2,2,4,Vacant,740,Dhaka,"23,385","Pirerbag, Mirpur",Flat
"1370 Sq Ft Apartment Is Available For Sale In Middle Badda, Adarsha Nagar",3,3,5,Vacant,1370,Dhaka,"61,469","Middle Badda, Badda",Apartment
"950 Sq Ft Apartment For Sale In Dakshin Khan, Near Islami Bank Bd Ltd.",3,2,2,Vacant,950,Dhaka,"26,725","Moushair, Dakshin Khan",Apartment
"A 1,365 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Uttar Badda",3,3,3,Vacant,1365,Dhaka,"57,059","Uttar Badda, Badda",Flat
Favorable 1128 SFT 3 Bedroom Flat For Sale In Badda,3,3,3,Vacant,1128,Dhaka,"47,558","Uttar Badda, Badda",Flat
Don’t Miss Out On This Attractive 3 Bedroom Flat For Sale In Middle Badda!,3,3,6,Vacant,1388,Dhaka,"64,141","Middle Badda, Badda",Flat
"Reside In This 1530 Sq Ft Residential Flat For Sale In Mirpur, Paikpara",4,3,5,Vacant,1530,Dhaka,"76,836","Paikpara, Mirpur",Flat
"Lovely Apartment Of 1200 Sq Ft Is Up For Sale In Section 1, Mirpur",3,3,4,Vacant,1200,Dhaka,"58,128","Section 1, Mirpur",Apartment
"A Nicely Constructed Apartment Of 1200 Sq Ft Is Available Right Now For Sale In Section 1, Mirpur",3,3,2,Vacant,1200,Dhaka,"58,128","Section 1, Mirpur",Apartment
Your Desirable Cozy Flat Of 1250 Sq Ft Is Ready For Sale In Aftab Nagar,3,3,7,Vacant,1250,Dhaka,"50,778","Block C, Aftab Nagar",Flat
4350 Sq Ft Modern And Spacious Flat For Sale In Uttara-12,5,5,9,Vacant,4350,Dhaka,"380,838","Sector 12, Uttara",Flat
"Buy This 2300 Sq Ft Apartment In Banasree, Block J",4,4,7,Vacant,2300,Dhaka,"146,990","Block J, Banasree",Apartment
Visit This Apartment For Sale In Mirpur Near Popular Diagnostic Center Limited.,3,3,4,Vacant,1550,Dhaka,"63,473","Section 6, Mirpur",Apartment
An Apartment Of 1550 Sq.ft Is For Sale In The Location Of Bashundhara R-a Near The Aga Khan School.,3,3,1,Vacant,1550,Dhaka,"83,517","Block G, Bashundhara R-A",Apartment
An Adequate 3 Bedroom Apartment Is For Sale In The Location Of Bashundhara R-a Near The Aga Khan School.,3,3,4,Vacant,1550,Dhaka,"83,517","Block G, Bashundhara R-A",Apartment
"Buy This 350 Square Feet Apartment In Bashundhara R-a, Block C",1,1,3,Vacant,350,Dhaka,"36,748","Block C, Bashundhara R-A",Apartment
Nearly Finished 1600 Square Feet Apartment For Sale In Uttara,3,3,8,Vacant,1600,Dhaka,"106,902","Sector 15, Uttara",Apartment
1600 Square Feet 3 Beds Family Apartment For Sale In Uttara,3,3,4,Vacant,1600,Dhaka,"106,902","Sector 15, Uttara",Apartment
This beautiful 1800 sq ft flat located in Uttara is now available | For sale,3,3,3,Vacant,1800,Dhaka,"120,265","Sector 13, Uttara",Flat
"Buy This 1439 Sq Ft Apartment In Bashundhara R-a, Block B",3,3,3,Vacant,1439,Dhaka,"86,858","Block B, Bashundhara R-A",Apartment
"Buy This 1505 Sq Ft Flat In Middle Badda, Adarsha Nagar",3,3,3,Vacant,1505,Dhaka,"76,836","Middle Badda, Badda",Flat
1605 Sq Feet | Flat For Sale | Uttara,3,4,3,Vacant,1605,Dhaka,"113,583","Sector 11, Uttara",Flat
1537 Square Feet Flat With 3 Bedrooms Is Available For Sale In Bashundhara R/a,3,3,5,Vacant,1537,Dhaka,"96,880","Block K, Bashundhara R-A",Flat
"Offering You A 1700 Sq Ft Flat For Sale In Block E, Bashundhara R-A",3,3,3,Vacant,1700,Dhaka,"107,904","Block E, Bashundhara R-A",Flat
"1700 Sq Ft Flat For Sale In Block E, Bashundhara R-A",3,3,3,Vacant,1700,Dhaka,"107,904","Block E, Bashundhara R-A",Flat
"Buy This 1100 Sq Ft Flat In Cantonment, Matikata",3,2,2,Vacant,1100,Dhaka,"40,088","Matikata, Cantonment",Flat
"1450 Sq Ft Apartment For Sale In Bashundhara R-a, Block B",3,3,4,Vacant,1450,Dhaka,"87,526","Block B, Bashundhara R-A",Apartment
"Here Is A Well Defined Flat Of 1815 Sq Ft Waiting For Sale At Sector 4, Uttara",3,5,4,Vacant,1815,Dhaka,"152,202","Sector 4, Uttara",Flat
Buy This 1225 Square Feet Flat Available In Bashundhara R-a,3,3,3,Vacant,1225,Dhaka,"73,495","Bashundhara Road, Bashundhara R-A",Flat
1400 Sq Ft Residential Apartment For Sale At Pallabi,3,3,2,Vacant,1400,Dhaka,"52,115","Pallabi, Mirpur",Apartment
"Looking For A Perfect Family Home To Buy In Banasree, Check This 1450 Sq Ft Well Featured Flat.",3,4,4,Vacant,1450,Dhaka,"95,443","Block G, Banasree",Flat
860 Sq Ft Apartment Is For Sale In Mirpur-1,2,2,4,Vacant,860,Dhaka,"37,349","Section 1, Mirpur",Apartment
1085 Square Feet Residential Flat For Sale In Dakshin Khan,3,2,7,Vacant,1085,Dhaka,"40,088","South Mollartek, Dakshin Khan",Flat
"1255 Sq Ft Residential Apartment For Sale in Dhanmondi, Circular Road",3,3,7,Vacant,1255,Dhaka,"92,236","Circular Road, Dhanmondi",Apartment
"1910 Sq Ft Apartment Is Up For Sale In Banasree, Block J",4,4,4,Vacant,1910,Dhaka,"91,882","Block J, Banasree",Apartment
"In the location of Mirpur, very close to Medicine Point is up for sale",2,2,5,Vacant,800,Dhaka,"24,721","Section 6, Mirpur",Not Specified
An apartment located on Mirpur near to BSMR Maritime University is waiting for you to make it home!,3,3,1,Vacant,1245,Dhaka,"30,066","Pallabi, Mirpur",Apartment
"Make this flat your next residing location, which is up for Sale in Dakshin Khan Near Ashkona Jame Masjid",3,2,5,Vacant,1250,Dhaka,"30,066","Aainusbag, Dakshin Khan",Flat
"Flat up for sale in Rupnagar R/A area, near Jaman Plaza",3,2,4,Vacant,1000,Dhaka,"34,075","Rupnagar R/A, Mirpur",Flat
"Commercial space for sale in Rupnagar R/A, near Jaman Plaza",,,2,Vacant,1900,Dhaka,"153,671","Rupnagar R/A, Mirpur",Commercial Property
A Shop Is Up For Sale In Faydabad Near Homes Laboratory School.,,,,Vacant,216,Dhaka,"40,088","Faydabad, Dakshin Khan",Commercial Property
In Mirpur Apartment Can Be Found For Sale Near Shaheed Zia Girls Laboratory School,2,2,4,Vacant,650,Dhaka,"14,699","Section 12, Mirpur",Apartment
An Apartment Which Is Up For Sale At Mirpur Near To M.D.C. Model Institute,2,2,3,Vacant,650,Dhaka,"15,367","Section 12, Mirpur",Apartment
3 Bedrooms Apartment With A View Is Up For Sale,3,3,5,Vacant,1250,Dhaka,"76,836","Shiddheswari Lane, Shiddheswari",Apartment
"In The Location Of Mirpur, Close To Delta Medical College And Hospital A Flat Is Up For Sale.",3,2,5,Vacant,1300,Dhaka,"46,770","Section 1, Mirpur",Flat
Visit This Flat For Sale In Uttara Nearby Shaheed Monsur Ali Medical College And Hospital,3,3,1,Vacant,1500,Dhaka,"60,132","Sector 10, Uttara",Flat
A Fine Flat Is Now For Sale Which Is In Mirpur Near Popular Diagnostic Center Limited,3,4,5,Vacant,1460,Dhaka,"73,495","Section 6, Mirpur",Flat
Visit this apartment for sale in Mirpur near Nurani Jame Masjid,3,2,6,Vacant,1100,Dhaka,"25,389","Section 2, Mirpur",Apartment
"An apartment ready for sale at Mirpur, near Mainuddin Medical Hall",2,2,3,Vacant,650,Dhaka,"20,044","Section 10, Mirpur",Apartment
"Apartment for sale includes 1578 SQ Ft at Mirpur, near Shah Ali Police Station",3,4,4,Vacant,1578,Dhaka,"80,176","Section 2, Mirpur",Apartment
Check this 1584 SQ FT apartment up for sale at Mirpur very near to Aklima General Hospital LTD,3,4,2,Vacant,1584,Dhaka,"80,176","Section 2, Mirpur",Apartment
Choose Your Destination At This Nice Flat Which Is Available For Sale In Uttara Near Uttara Model Town Post Office,3,3,4,Vacant,1500,Dhaka,"58,796","Sector 3, Uttara",Flat
"At Mohammadpur, Nice Flat Up For Sale Near Millennium Heart &amp; General Hospital Ltd.",2,2,3,Vacant,1050,Dhaka,"36,748","Zakir Hosain Road, Mohammadpur",Flat
Visit this apartment for sale of 1703 SQ FT in Mirpur near Jannat Academy High School.,3,3,6,Vacant,1703,Dhaka,"59,168","Section 11, Mirpur",Apartment
"Apartment Up For Sale In Mirpur, Near Baitur Rahmat Jame Masjid",2,2,6,Vacant,1000,Dhaka,"26,725","Arambag Residential Area, Mirpur",Apartment
"A 2300 Square Ft. Residential Apartment For Sale At Bashundhara R-A, Block J.",4,4,1,Vacant,2300,Dhaka,"100,220","Block J, Bashundhara R-A",Apartment
"2300 Sq Ft Flat With Comfiest Home Facilities, Is Up For Sale In Bashundhara R-a, Block J",4,4,5,Vacant,2300,Dhaka,"100,220","Block J, Bashundhara R-A",Flat
"Fully Fitted Commercial Office Space Of 2750 Square Feet Is Available For Sale In Vip Road, Motijheel",,,14,Vacant,2750,Dhaka,"174,551","Naya Paltan, Motijheel",Commercial Property
"1365 Sq Ft Flat With Serene Balcony Views Is For Sale In Mirpur-10, Senpara Parbata",3,3,7,Vacant,1365,Dhaka,"50,160","Section 10, Mirpur",Flat
1365 Sq Ft Flat With 3 Bedrooms Is Up For Sale In Mirpur-10,3,3,9,Vacant,1365,Dhaka,"50,160","Section 10, Mirpur",Flat
1365 Sq Ft Flat Is Up For Sale In Mirpur-10,3,3,9,Vacant,1365,Dhaka,"50,160","Section 10, Mirpur",Flat
Appreciate Your Days In This 1365 Sq Ft Flat For Sale With Best Room Facilities In Mirpur-10,3,3,9,Vacant,1365,Dhaka,"50,160","Section 10, Mirpur",Flat
"Buy This Nice Flat Of 1900 Sq Ft, Which Is Located At Jagannathpur, Badda",6,6,5,Vacant,1900,Dhaka,"66,814","Jagannathpur, Badda",Flat
"A 2156 Square Feet Residential Flat Is Up For Sale At Block J, Bashundhara R-a",3,3,5,Vacant,2156,Dhaka,"113,583","Block J, Bashundhara R-A",Flat
"This Flat In Shapla Housing , Agargaon Is Up For Sale With An Area Of 1300 Sq.ft",3,3,9,Vacant,1300,Dhaka,"65,143","West Agargaon, Agargaon",Flat
A 8850 Square Ft Residential Building Is For Sale At Banasree -Block B.,18,10,1,Vacant,8850,Dhaka,"367,475","Block B, Banasree",Not Specified
"Covering 1360 Sq Ft Space A Flat Is Up For Sale In Block I, Bashundhara R-a",3,3,6,Vacant,1360,Dhaka,"66,814","Block I, Bashundhara R-A",Flat
Buy This 1250 Square Feet Commercial Space In A Booming Location Of Mirpur-11,,,,Vacant,1250,Dhaka,"153,671","Section 11, Mirpur",Commercial Property
1332 Sq Ft Residential Apartment Is Up For Sale In Dakkhin Paikpara,3,3,1,Vacant,1332,Dhaka,"37,378","Dakkhin Paikpara, Mirpur",Apartment
2200 Sq Ft Apartment Is Ready For Sale In Mirpur Dohs,3,4,5,Vacant,2200,Dhaka,"133,627","Mirpur DOHS, Mirpur",Apartment
4.53 Katha Plot with full building is now available for sale in Rajashon,,,,Vacant,3262,Dhaka,"30,066","Rajashon, Savar",Plot
Your Desired Large 2 Bedroom Home In Mohammadpur Very Close To Mohammadpur Police Camp Is Now Vacant For Sale,2,2,2,Vacant,850,Dhaka,"34,075","Bash Bari Road, Mohammadpur",Not Specified
We Have A 1295 Sq.Ft Flat For Sale In Taltola .,3,2,7,Vacant,1295,Dhaka,"43,429","Taltola, Agargaon",Flat
"If You Want To Reside In Mirpur DOHS, Check This 1100 Sq Ft Flat Which Is Up For Sale.",3,2,1,Vacant,1100,Dhaka,"63,473","Mirpur DOHS, Mirpur",Flat
At Uttara-12 We Have A 1050 Sq.Ft Ready Flat For Sale.,3,2,5,Vacant,1050,Dhaka,"36,748","Sector 12, Uttara",Flat
4 Katha Residential Plot Is Up For Sale At Kushumbag Close To Kalibari Temple,,,,Vacant,2880,Dhaka,"120,265","Rajarbag, Bashabo",Plot
"1425 Sq Ft Flat For Sale In West Shewrapara, Mirpur",3,3,1,Vacant,1425,Dhaka,"57,042","West Shewrapara, Mirpur",Flat
Your Desirable Cozy Flat of 1425 sq ft Is Ready For Sale In West Shewrapara Near North South International School,3,3,7,Vacant,1425,Dhaka,"57,042","West Shewrapara, Mirpur",Flat
Cantonment Is Giving You A 1410 Sq Ft Apartment Available For Sale,3,3,4,Vacant,1410,Dhaka,"46,770","Bagan Bari, Cantonment",Apartment
A 860 Square Feet Apartment Is For Sale In The Location Of Rupnagar R/A.,2,2,6,Vacant,860,Dhaka,"30,066","Rupnagar R/A, Mirpur",Apartment
View This 1254 Sq Ft Apartment Is Available For Sale At Cantonment,3,3,2,Vacant,1254,Dhaka,"36,748","Manikdi, Cantonment",Apartment
5200 Square Feet Residential Buildings For Sale In West Shewrapara,16,10,,Vacant,5200,Dhaka,"267,255","West Shewrapara, Mirpur",Not Specified
Commercial Area Of 2859 Square Feet Is Up For Sale At Motijheel,,,3,Vacant,2859,Dhaka,"235,435","Purana Paltan, Motijheel",Commercial Property
In Mirpur DOHS A Standard 1195 Sq.Ft Flat Is For Sale.,3,3,2,Vacant,1195,Dhaka,"56,792","Mirpur DOHS, Mirpur",Flat
This Wonderful Flat Is Set For Sale With An Amazing Floor Plan Which Is 1800 Sq Ft In Pirerbag,3,4,9,Vacant,1800,Dhaka,"50,110","Pirerbag, Mirpur",Flat
Obtain This Well Fitted Flat Of 1860 Sq Ft Which Is Up For Sale In Bashundhara R-a,3,3,7,Vacant,1860,Dhaka,"80,176","Block J, Bashundhara R-A",Flat
A Fine 1654 Sq Ft Flat Is Now For Sale Which Is In Uttara Sector 18.,3,4,1,Vacant,1654,Dhaka,"56,792","Sector 18, Uttara",Flat
950 Sq. Ft. Flat Ready For Sale At North Pirerbag.,3,2,3,Vacant,950,Dhaka,"23,385","Pirerbag, Mirpur",Flat
See This Apartment Is Up For sale At Bashundhara R-A Near Sunflower School And College.,4,5,13,Vacant,2950,Dhaka,"213,804","Block C, Bashundhara R-A",Apartment
3700 Sq Ft Spacious Apartment For Sale In Uttara Nearby Uttara Adhunik Medical College Hospital,5,5,1,Vacant,3700,Dhaka,"293,980","Sector 9, Uttara",Apartment
"In The Location Of Cantonment , Close To Alabdirtek Jame Mosque A Flat Is Up For Sale",3,2,9,Vacant,1070,Dhaka,"25,389","Goltek, Cantonment",Flat
An Apartment Which Is Up For Sale At Mirpur Near To Aloron International School &amp; College,3,3,1,Vacant,1400,Dhaka,"46,770","Ahmed Nagar, Mirpur",Apartment
Visit This Apartment For Sale In Mirpur Near Halim Foundation Model High School,4,4,2,Vacant,1451,Dhaka,"50,110","West Shewrapara, Mirpur",Apartment
"This Ready Apartment At Mirpur, Near Masjidul Juma Is Up For Sale.",2,2,3,Vacant,650,Dhaka,"18,040","Section 12, Mirpur",Apartment
A Nice Flat Is For Sale In Mohammadpur Nearby Alhaj Mockbul Hossain University College,2,2,2,Vacant,940,Dhaka,"32,071","Katashur, Mohammadpur",Flat
Offering You A Nice Flat For Sale In Uttara Near Asian University Of Bangladesh,3,3,5,Vacant,1554,Dhaka,"90,198","Sector 6, Uttara",Flat
This 368 Sq. Ft Shop Is Up For Sale In Malibagh Near Standard Bank Limited,,,1,Vacant,368,Dhaka,"73,762","Malibag Bazar Rd, Malibagh",Commercial Property
3 Bedroom &amp; 3 Bathroom Apartment Which Is Up For Sale At Aftab Nagar,3,3,5,Vacant,1300,Dhaka,"55,455","Block E, Aftab Nagar",Apartment
"At Aftab Nagar Near To Gazi Jame Mosjid, A 1300 Sq. Ft Apartment Which Is Up For Sale",3,3,6,Vacant,1300,Dhaka,"55,455","Block E, Aftab Nagar",Apartment
An Apartment Which Is Up For Sale At Ahmed Nagar Near To Ahmed Nagar Darul Islam Jame Masjid.,3,2,6,Vacant,1276,Dhaka,"26,725","Ahmed Nagar, Mirpur",Apartment
An Apartment Of 3195 Sq Ft Which Is Up For Sale At Bashundhara R-A Near To Baitun Nazat Jame Mosjid,4,5,4,Vacant,3195,Dhaka,"227,835","Block C, Bashundhara R-A",Apartment
Well Developed Flat Is Up For Sale In Bashundhara R-A Nearby Playpan School.,3,3,5,Vacant,1400,Dhaka,"83,517","Block I, Bashundhara R-A",Flat
Apartment For Sale Is All Set For You To Settle In Uttara Close To Trust Bank Limited ATM Booth,3,3,4,Vacant,1320,Dhaka,"61,001","Sector 10, Uttara",Apartment
A Fascinating Apartment In Dakshin Khan Near To Ark Hospital Is Ready For Sale,3,3,3,Vacant,1320,Dhaka,"33,407","East Azampur, Dakshin Khan",Apartment
"A Rightly Planned 1517 Sq Ft Residence Is Found For Sale In Uttara, Near Mugda Medical College And Hospital",3,3,5,Vacant,1517,Dhaka,"76,836","Sector 10, Uttara",Not Specified
Stunning 2644 Square Feet Apartment For Sale In Gulshan 1,4,4,5,Vacant,2644,Dhaka,"233,848","Gulshan 1, Gulshan",Apartment
Convenient 800 Square Feet Apartment For Sale In Dhanmondi,2,2,6,Vacant,800,Dhaka,"46,435","North Circular Road, Dhanmondi",Apartment
A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,4,4,5,Vacant,2000,Dhaka,"146,990","Block B, Bashundhara R-A",Flat
"1593 Sq Ft Nicely Planned Apartment Is Available For Sale In Lalmatia, Block B",3,3,4,Vacant,1593,Dhaka,"143,649","Block B, Lalmatia",Apartment
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3,2,6,Vacant,1220,Dhaka,"33,407","West Shewrapara, Mirpur",Not Specified
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2,2,1,Vacant,1040,Dhaka,"43,429","Section 15, Mirpur",Flat
"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3,3,4,Vacant,1620,Dhaka,"110,243","Block C, Khilgaon",Apartment
Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3,3,4,Vacant,1550,Dhaka,"96,880","Block I, Bashundhara R-A",Flat
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2,2,5,Vacant,1000,Dhaka,"36,748","Pallabi, Mirpur",Apartment
"We Offer You An Excellent And Spacious Commercial Space Of 1840 Sq Ft At Tejgaon, For Sale",,,3,Vacant,1840,Dhaka,"307,343","Hatir Jheel Link Road, Tejgaon",Commercial Property
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2,2,2,Vacant,740,Dhaka,"26,725","Pirerbag, Mirpur",Apartment
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3,3,6,Vacant,1250,Dhaka,"52,115","Section 10, Mirpur",Apartment
Buy This 855 Sq Ft Nice Flat In North Goran,3,2,5,Vacant,875,Dhaka,"38,084","North Goran, Khilgaon",Flat
Buy This 1650 Sq Ft Office In Ibrahimpur Bazar Road,,,3,Vacant,1650,Dhaka,"66,814","Ibrahimpur Bazar Road, Ibrahimpur",Office Space
"630 Sq Ft Residential Apartment For Sale In Mirpur, Rupnagar R/a",2,1,2,Vacant,630,Dhaka,"23,385","Rupnagar R/A, Mirpur",Apartment
Create your home in a 800 SQ FT apartment for sale in Rupnagar R/A,2,2,5,Vacant,800,Dhaka,"35,411","Rupnagar R/A, Mirpur",Apartment
"1560 Square Feet Apartment For Sale In The Great Area Of Bashundhara R-a, Block L",3,3,1,Vacant,1560,Dhaka,"93,539","Block L, Bashundhara R-A",Apartment
Valuable 1970 Square Feet Apartment For Sale In Bashundhara R/A,3,4,6,Vacant,1970,Dhaka,"140,309","Block C, Bashundhara R-A",Apartment
1802 SQ FT Apartment for Sale in Uttara nearby Police Station,3,3,2,Vacant,1802,Dhaka,"106,902","Sector 4, Uttara",Apartment
6 Katha Residential Plot With 5 Storied Building Is Up For Sale In Tejgaon,,,,Vacant,4320,Dhaka,"534,509","East Nakhalpara, Tejgaon",Plot
Notable 2500 Square Feet Apartment For Sale In Banani Dohs,3,3,3,Vacant,2500,Dhaka,"434,289","Road No 5, Banani DOHS",Apartment
"Make this 1000 SQ FT flat your next residing location, which is up for sale in Jigatola",3,2,2,Vacant,1000,Dhaka,"48,774","Jigatola, Hazaribag",Flat
Offering You 1720 Sq Ft Flat For Sale In Hazaribag,4,4,2,Vacant,1720,Dhaka,"93,539","Jigatola, Hazaribag",Flat
Ready Flat Is Now For Sale In Rampura Nearby Mercantile Bank Limited,3,3,2,Vacant,1245,Dhaka,"47,438","West Rampura, Rampura",Flat
A Well Sized 1200 Sq Ft Residential Home Is Available For Sale At Baigertek,3,3,5,Vacant,1200,Dhaka,"33,407","Baigertek, Cantonment",Not Specified
Worthy 925 Sq Ft Residence Is For Sale At Banasree,2,2,4,Vacant,925,Dhaka,"45,433","Block J, Banasree",Not Specified
1485 Sq Ft Apartment With 3 Bedrooms For Sale In Mohammadpur,3,3,4,Vacant,1485,Dhaka,"88,194","Jahuri Moholla, Mohammadpur",Apartment
"View This 1485 Sq Ft Apartment For Sale In Mohammadpur, Jahuri Moholla",3,3,4,Vacant,1485,Dhaka,"88,194","Jahuri Moholla, Mohammadpur",Apartment
Buy This 6357 Square Feet Flat In West Dhanmondi,7,8,6,Vacant,6357,Dhaka,"193,760","West Dhanmondi and Shangkar, Dhanmondi",Flat
Buy This 1200 Sq Ft Apartment In The Nice Area Of Mirpur,3,3,7,Vacant,1200,Dhaka,"40,088","Ahmed Nagar, Mirpur",Apartment
"Impressive Apartment Of 1553 Sq Ft Is Up For Sale In Free School Street, Kathalbagan",3,3,2,Vacant,1553,Dhaka,"110,243","Free School Street, Kathalbagan",Apartment
"750 Sq Ft Apartment For Sale In Ahmed Nagar, Mirpur",3,2,6,Vacant,750,Dhaka,"34,743","Ahmed Nagar, Mirpur",Apartment
4.09 Katha Plot With Full Building For Sale In Eskaton,,,1,Vacant,2945,Dhaka,"668,137","New Eskaton Road, Eskaton",Plot
"Offering You 650 Sq Ft Flat For Sale In Mirpur, Rupnagar R/a.",2,2,5,Vacant,650,Dhaka,"21,380","Rupnagar R/A, Mirpur",Flat
"This 1595 Sq Ft Apartment Is Ready For Sale In Baitul Aman Housing Society, Adabor",3,3,6,Vacant,1595,Dhaka,"75,045","Baitul Aman Housing Society, Adabor",Apartment
"This 850 Sq Ft Apartment Comes With Peaceful Living In Mirpur10-Block A , Is Up For Sale.",2,2,6,Vacant,850,Dhaka,"40,088","Section 10, Mirpur",Apartment
"Near Senpara Jame Masjid, Apartment For sale In Mirpur",2,2,7,Vacant,850,Dhaka,"32,071","Section 10, Mirpur",Apartment
A worthwhile 1425 SQ FT residential flat is ready for sale at Mirpur 6,3,3,1,Vacant,1425,Dhaka,"56,792","Section 6, Mirpur",Flat
"A very reasonable 700 SQ FT residential home is up for sale located at Mirpur, Section 6",2,1,5,Vacant,700,Dhaka,"20,044","Section 6, Mirpur",Not Specified
"Your Desirable 1480 Sq Ft Cozy Flat Is Ready For Sale In Mirpur 2, Near Islami Bank International School &amp; College",3,3,2,Vacant,1480,Dhaka,"66,814","Section 2, Mirpur",Flat
Plan To Move In This 990 Sq Ft Flat Which Is Up For Sale In Bochila,3,3,6,Vacant,990,Dhaka,"32,071","Bochila, Mohammadpur",Flat
A 600 Square Feet Apartment At Bochila City Developers Ltd For Sale,2,1,8,Vacant,600,Dhaka,"20,044","Bochila, Mohammadpur",Apartment
Buy This Amazing 1050 Sq Ft Apartment At Mirpur,3,2,3,Vacant,1050,Dhaka,"32,071","2nd Colony, Mirpur",Apartment
A Must See 1350 Sq Ft Apartment For sale Is All Set For You To Settle In Bashundhara Close To Kuril Hazi Bari Masjid,3,3,5,Vacant,1350,Dhaka,"86,858","Block C, Bashundhara R-A",Apartment
Your Desired Large 2 Bedroom Home In Rajanigandha Residential Area Is Now Vacant For Sale,2,2,3,Vacant,1015,Dhaka,"43,429","Section 15, Mirpur",Not Specified
Looking For A Tasteful Home For Sale In Faydabad ? Check This One,2,2,5,Vacant,600,Dhaka,"17,372","Faydabad, Dakshin Khan",Not Specified
"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3,3,5,Vacant,1430,Dhaka,"80,176","Block J, Bashundhara R-A",Flat
Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3,3,1,Vacant,1690,Dhaka,"98,884","Boro Maghbazar, Maghbazar",Apartment
A 1330 Square Ft. Apartment Is For Sale At Banasree,3,3,1,Vacant,1330,Dhaka,"52,783","Block B, Banasree",Apartment
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3,3,2,Vacant,1230,Dhaka,"49,442","East Shewrapara, Mirpur",Apartment
An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3,3,7,Vacant,1700,Dhaka,"113,583","Sector 7, Uttara",Apartment
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3,3,6,Vacant,1300,Dhaka,"53,451","Sector 10, Uttara",Apartment
A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3,2,6,Vacant,1175,Dhaka,"42,093","Pirerbag, Mirpur",Apartment
"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3,3,6,Vacant,1265,Dhaka,"56,792","East Monipur, Mirpur",Apartment
"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3,2,7,Vacant,1000,Dhaka,"38,084","Pirerbag, Mirpur",Apartment
Looking For A Tasteful Home For Sale In Paterbag? Check This One,2,2,8,Vacant,1100,Dhaka,"30,066","Doniya, Shyampur",Not Specified
At Paterbag 1100 Square Feet Apartment For Sale,2,2,1,Vacant,1100,Dhaka,"30,066","Doniya, Shyampur",Apartment
At Mirpur DOHS 1045 Square feet flat is available to Sale close to Mirpur DOHS Central Mosque,3,2,1,Vacant,1045,Dhaka,"73,495","Mirpur DOHS, Mirpur",Flat
"1100 Sq Ft Apartment Is For Sale In Mirpur, Section 1",3,2,6,Vacant,1100,Dhaka,"42,761","Section 1, Mirpur",Apartment
