Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area^2,City,Price(�),Location,Type of Property
Residential Apartment Is For Sale In Mirpur Nearby Baitul Jannah Jame Masjid And Madrasha Complex,3,3,1,Vacant,1050,Dhaka,"31,402","Section 6, Mirpur",Apartment
A Commercial Building Is Up For Sale Which Is Located In Mirpur Nearby Mirpur Adhunik Hospital,,,6,Vacant,16000,Dhaka,"801,764","Section 12, Mirpur",Commercial Property
Nice 1240 Sq Ft Flat Is Available For Sale In Dakkhin Paikpara,3,3,8,Vacant,1240,Dhaka,"58,128","Dakkhin Paikpara, Mirpur",Flat
1504 Sq Ft Flat Is For Sale In The Thriving Arena Of Keraniganj,3,3,1,Vacant,1504,Dhaka,"47,438",Keraniganj,Flat
Find 750 Sq Ft Flat Available For Sale In Kadamtali,2,2,5,Vacant,750,Dhaka,"26,725","Kadamtali, Shyampur",Flat
"Buy This Nice 750 Sq Ft Flat In Kadamtali, To Fulfill Your Wish",2,2,7,Vacant,750,Dhaka,"23,385","Kadamtali, Shyampur",Flat
2.75 Katha Residential Plot For Sale In Mirpur-11,,,,Vacant,1980,Dhaka,"120,265","Section 11, Mirpur",Plot
Worthy 1585 SQ FT residence is for sale at Aftab Nagar,3,5,2,Vacant,1585,Dhaka,"93,539","Block C, Aftab Nagar",Not Specified
1485 Sq ft Apartment with 3 bedrooms For Sale in Mohammadpur,3,3,8,Vacant,1485,Dhaka,"88,194","Jahuri Moholla, Mohammadpur",Apartment
"1545 Sq Ft Flat With 3 Modest Bedrooms For Sale In Mirpur-2, Block C",3,3,5,Vacant,1545,Dhaka,"93,539","Section 2, Mirpur",Flat
Completely suitable and ready flat of 1050 SQ FT for Sale in Kallyanpur,3,3,6,Vacant,1050,Dhaka,"54,787","Kallyanpur, Mirpur",Flat
A Residential Building Of 5600 Sq Ft With 2.5 Katha Land Is Available For Sale In East Shewrapara,16,10,,Vacant,5600,Dhaka,"217,144","East Shewrapara, Mirpur",Not Specified
"Near Rampura Thana, 900 Sq.ft And 2 Bedroom Flat For Sale In West Rampura",2,2,5,Vacant,900,Dhaka,"27,394","West Rampura, Rampura",Flat
1340 Sq.ft Apartment Is For Sale Close To Muslim para Jame Masjid At Madhya Ajampur,3,3,3,Vacant,1340,Dhaka,"41,424","Madhya Ajampur, Dakshin Khan",Apartment
"1400 Sq Ft Flat With 3 Bedrooms Is Up For Sale In Mohammadpur, Mohammadia Housing Society",3,3,7,Vacant,1400,Dhaka,"76,836","Mohammadia Housing Society, Mohammadpur",Flat
A Nicely Build 1275 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Uttar Badda .,3,3,3,Vacant,1275,Dhaka,"53,451","Uttar Badda, Badda",Apartment
"Spacious Office Space Of 1245 Sq Ft Is Waiting For sale In Block C, Niketan",,,3,Vacant,1245,Dhaka,"103,561","Block C, Niketan",Office Space
"An Apartment Is Up For Sale In Ibrahimpur, Near Ibrahimpur Central Jame Masjid.",2,2,5,Vacant,1050,Dhaka,"32,071","North Ibrahimpur, Ibrahimpur",Apartment
A Decent Apartment In Mohakhali Near Jabala ICDDRB Is Up For Sale,2,2,5,Vacant,850,Dhaka,"36,748","Dakhshin Para, Mohakhali",Apartment
Flat For Sale In West Agargaon Nearby Bangladesh Public Service Commission,3,4,2,Vacant,1440,Dhaka,"48,774","West Agargaon, Agargaon",Flat
"You Can Move Into This Well Planned And Comfortable Residential Flat In Uttara Sector 11 For Sale , Of 948 Sq Ft, Near Shaheed Monsur Ali Medical College And Hospital",2,3,5,Vacant,948,Dhaka,"46,770","Sector 11, Uttara",Flat
Stunning 2644 Square Feet Apartment For Sale In Gulshan 1,4,4,5,Vacant,2644,Dhaka,"233,848","Gulshan 1, Gulshan",Apartment
Convenient 800 Square Feet Apartment For Sale In Dhanmondi,2,2,6,Vacant,800,Dhaka,"46,435","North Circular Road, Dhanmondi",Apartment
A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,4,4,5,Vacant,2000,Dhaka,"146,990","Block B, Bashundhara R-A",Flat
"1593 Sq Ft Nicely Planned Apartment Is Available For Sale In Lalmatia, Block B",3,3,4,Vacant,1593,Dhaka,"143,649","Block B, Lalmatia",Apartment
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3,2,6,Vacant,1220,Dhaka,"33,407","West Shewrapara, Mirpur",Not Specified
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2,2,1,Vacant,1040,Dhaka,"43,429","Section 15, Mirpur",Flat
"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3,3,4,Vacant,1620,Dhaka,"110,243","Block C, Khilgaon",Apartment
Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3,3,4,Vacant,1550,Dhaka,"96,880","Block I, Bashundhara R-A",Flat
